timestamp,close,open,high,low,volume
2026-01-15 10:00:00,125201.60717333706,125187.1275484393,125458.10873983023,125023.32586333466,5978815
2026-01-15 10:05:00,125192.41770960657,125156.33602941831,125395.91701688117,125015.42446925254,6126160
2026-01-15 10:10:00,125433.79834989447,125526.05708428127,125526.05708428127,125430.13910742236,620819
2026-01-15 10:15:00,125937.33567395882,125893.28939178653,125941.44612209118,125893.28939178653,15399084
2026-01-15 10:20:00,125881.05714497797,125815.78365814289,126024.23187992422,125741.21447568467,5463549
2026-01-15 10:25:00,125885.76658311652,125927.64682234013,125936.05409131302,125696.83697093576,6918420
2026-01-15 10:30:00,126401.91255579737,126351.59594850795,126441.15690572228,126351.59594850795,1530851
2026-01-15 10:35:00,126677.87155189979,126617.6955410507,126820.67092981806,126508.68432928479,6091342
2026-01-15 10:40:00,126586.68697284833,126495.31643242436,126733.14035134534,126463.23956714233,10083323
2026-01-15 10:45:00,126782.95591158481,126752.34354314201,126823.84400571162,126736.13955834327,2962048
2026-01-15 10:50:00,126692.29900604472,126687.05932777483,126865.12073048949,126501.52163669557,24201434
2026-01-15 10:55:00,126577.31788852093,126592.70283796503,126644.64154759714,126571.00038508739,3416286
2026-01-15 11:00:00,126692.73532198466,126752.99711709424,126756.19790857671,126617.99732682519,10229495
2026-01-15 11:05:00,126100.43683571155,126133.6578648826,126224.30835555997,126058.69268545668,4381969
2026-01-15 11:10:00,125627.65377033164,125615.66435577544,125829.33087334938,125525.97744523406,5870917
2026-01-15 11:15:00,125476.954751061,125464.52025610252,125630.53055634511,125348.25010304266,614563
2026-01-15 11:20:00,125189.31845238734,125221.25158530577,125386.04345098176,124930.81937557811,4737659
2026-01-15 11:25:00,125331.71340409767,125411.46010357105,125448.56908953436,125178.58252948438,1567550
2026-01-15 11:30:00,125061.05367159276,125068.95216503329,125346.91538224784,125011.05795020486,1402268
2026-01-15 11:35:00,124684.90297831045,124655.65621078978,124782.48030642142,124655.65621078978,18701292
2026-01-15 11:40:00,125162.15450347643,125100.01987956186,125258.07733639085,125100.01987956186,2639842
2026-01-15 11:45:00,125125.01626828861,125034.60060217831,125176.80487967414,124991.45358006161,1198640
2026-01-15 11:50:00,125181.5780129728,125223.28035743709,125239.26133907266,125023.96628053694,2282697
2026-01-15 11:55:00,124806.79327464837,124842.86109770692,124996.79093920506,124681.32311754215,890510
2026-01-15 12:00:00,124652.68922698067,124688.67418501373,124752.15898840089,124562.54433631651,13713406
2026-01-15 12:05:00,124751.71473888062,124743.68949560572,124820.96556693205,124705.97998093166,1630372
